,A_M13DKO_080212_CTRL4.8_crop_seg_id,A_M13DKO_080212_CTRL4.8_crop_distance,B_M13DKO_080212_CTRL4.8_crop_seg_id,B_M13DKO_080212_CTRL4.8_crop_distance,F_M13DKO_060212_CTRL7.2_crop_seg_id,F_M13DKO_060212_CTRL7.2_crop_distance,F_M13DKO_080212_CTRL6.7B_crop_seg_id,F_M13DKO_080212_CTRL6.7B_crop_distance,C_M13DKO_060212_CTRL7.2_crop_seg_id,C_M13DKO_060212_CTRL7.2_crop_distance,A_M13DKO_080212_CTRL6.7B_crop_seg_id,A_M13DKO_080212_CTRL6.7B_crop_distance
0,8.0,0.0,16.0,0.0,17,1.554,2.0,2.6916069549620354,22.0,0.0,29.0,6.216
1,72.0,1.554,3.0,12.624755680804284,21,1.554,41.0,3.4748496370346733,56.0,0.0,11.0,6.407306142209845
2,6.0,2.19768787592779,13.0,18.32138979444518,83,1.554,6.0,4.39537575185558,66.0,0.0,8.0,7.7700000000000005
3,4.0,2.6916069549620354,69.0,21.64471538274412,98,1.554,7.0,7.77,68.0,0.0,2.0,7.923876324123188
4,69.0,3.4748496370346733,14.0,21.756,1,3.108,21.0,8.927050352720096,63.0,16.519246592989646,75.0,9.57949936061379
5,71.0,19.47156418986416,1.0,25.67629389144781,101,4.914179483901662,13.0,18.648,3.0,26.04978687052929,22.0,9.950455064970647
6,10.0,26.463666412649623,29.0,27.885533023415565,27,6.59306362778337,25.0,31.504451685436457,45.0,26.234539447072443,72.0,11.313290767941925
7,70.0,31.15760311705636,71.0,29.526,82,12.528748540855943,29.0,31.58101182672905,29.0,27.005640744111226,42.0,11.419521180855176
8,7.0,34.748496370346736,54.0,29.93215388173728,6,28.94781255984638,34.0,32.074198602615155,69.0,40.37410432443053,70.0,11.419521180855178
9,5.0,45.30649622294799,65.0,32.634,89,37.6824973694685,3.0,40.553147793975256,48.0,43.788620713605496,28.0,11.834911406512512
10,9.0,50.33137077410072,11.0,35.53872631369897,14,41.524089682978,1.0,43.65052948132474,70.0,46.67177125415319,61.0,11.936500492187816
11,2.0,51.44655417032321,68.0,37.4575252252468,69,43.09373973096325,4.0,49.46018507850532,42.0,48.37410054977767,74.0,12.137127996358942
12,11.0,51.96033186960992,41.0,43.87126681553657,4,43.59517051234001,12.0,49.97022257304844,25.0,64.16721733097049,55.0,12.528748540855945
13,107.0,56.03026682071039,43.0,46.30815703523517,16,43.73343654459367,14.0,54.412195471236046,13.0,71.43330811323244,10.0,13.36801346498424
14,3.0,64.09190366965238,64.0,54.94219689819474,76,49.14179483901662,35.0,59.560990623057975,26.0,75.17249124513567,25.0,28.144137009331093
15,99.0,65.36043454567908,81.0,56.22388321701019,22,50.99867186505939,24.0,76.0031517241226,58.0,75.89186161901684,19.0,29.48507690340997
16,45.0,67.55879839073518,2.0,59.98520517594318,97,53.51719701180173,46.0,76.54140197304986,60.0,76.60447689267254,23.0,39.61938162061595
17,85.0,68.55236346035052,59.0,61.88745249240754,20,55.29270888643457,39.0,80.86774714309779,40.0,79.92154165179748,71.0,46.51628463237364
18,1.0,72.65677102651894,67.0,66.24124373832363,100,55.987150025697865,27.0,81.32929929613313,54.0,80.88267703284802,18.0,51.680722672965786
19,23.0,77.77766118880152,7.0,66.822,3,63.23844476266,23.0,83.98791363047424,51.0,85.2436639522258,3.0,56.90696228055053
20,68.0,80.17796699842171,30.0,66.84006732492121,106,64.80384960787438,28.0,94.70479409195714,28.0,86.0332350897024,76.0,59.50014164689022
21,12.0,86.92682074020654,72.0,67.11049351628999,91,65.60015481689048,26.0,98.7004110629738,67.0,87.2595561987339,27.0,63.123778404021415
22,18.0,89.12159516076898,9.0,67.34398449750357,2,67.77293141070409,45.0,100.3383516109369,4.0,90.10520291303938,32.0,63.903231185911096
23,37.0,89.45966478810436,85.0,69.27075928557446,13,74.08848809363032,16.0,100.35038475262564,5.0,92.34212687609052,54.0,64.09190366965238
24,88.0,90.10520291303938,78.0,71.77057773210412,85,79.20828093072089,9.0,100.6507457498453,65.0,106.87634293893107,4.0,65.6553505816548
25,95.0,91.43543728773872,17.0,73.12061285301156,12,83.46875259640579,31.0,101.04585517476708,35.0,109.3777576292365,5.0,66.822
26,65.0,91.54102096874384,8.0,73.8763166380133,26,85.04512578625538,18.0,101.59404994388206,44.0,115.77039258808792,73.0,70.63438579049159
27,94.0,94.01378920137196,24.0,74.23502079207628,72,85.14445273768574,42.0,103.71131020288963,62.0,117.78663939513685,67.0,73.8763166380133
28,49.0,99.12766114460686,15.0,75.70069793601641,90,87.71500656102126,19.0,107.39478020835092,19.0,119.73870005975512,20.0,74.36502968465756
29,76.0,100.42255332344423,77.0,76.19355657796794,8,91.2239033148659,10.0,117.48897759364492,53.0,120.42246708982506,47.0,74.60818574392492
30,20.0,104.69624503295236,4.0,76.5887130326656,84,95.9083679560861,61.0,124.1353253348941,12.0,122.223853547497,63.0,76.77766573685345
31,110.0,109.76345440992644,10.0,78.53467682495422,68,98.29587435899842,37.0,124.32971212063512,39.0,122.63807258759412,39.0,81.72917261296607
32,43.0,111.82323125361742,62.0,83.82962221076748,74,100.06118995894462,47.0,124.42679163267049,55.0,122.65776241233164,13.0,84.6038475720815
33,113.0,113.86695747230624,76.0,85.58294355769729,5,100.3985028972046,38.0,129.55178964414193,71.0,129.14104651891282,69.0,89.90397016817444
34,74.0,117.12872318948928,75.0,86.82953271784895,18,107.39478020835092,33.0,133.0009763122061,16.0,129.77528340943817,12.0,96.97258841548988
35,46.0,117.75588168749788,61.0,90.34609056290152,38,108.53552528089594,20.0,133.79750486462743,30.0,130.2860106227833,49.0,100.87842199400227
36,17.0,118.2776749348752,5.0,92.99362449114456,104,111.7584249710061,74.0,140.83218775549858,46.0,134.27495245204892,26.0,103.32639370460967
37,100.0,122.61837960110222,74.0,93.40819829115644,24,112.20052187044408,22.0,145.5211270022329,37.0,137.31592816567203,24.0,108.42421818025713
38,38.0,129.07558051002522,80.0,94.5899771646024,70,113.86695747230624,8.0,147.49907879034365,8.0,144.5888232609976,16.0,117.21116467299521
39,62.0,139.69587036129593,63.0,98.33271919356244,19,119.45601133471683,44.0,149.94288232523743,36.0,146.290757028597,43.0,119.64790866538371
40,26.0,139.7045135706073,44.0,98.60249396440236,48,119.45601133471683,15.0,156.59200830182874,14.0,151.0740583819737,51.0,125.02700215553439
41,87.0,141.40546128067334,48.0,98.89595441675051,7,122.2040938103139,40.0,160.33334282051254,1.0,156.8847470979891,40.0,135.6349147085661
42,101.0,144.08689340810983,83.0,99.96460577624462,80,122.49029801580204,5.0,163.1107892568729,47.0,163.42879477007716,59.0,139.42766511707782
43,58.0,150.26464853717255,60.0,103.29133016860612,96,130.2860106227833,50.0,165.73247896534946,59.0,170.6501451625518,15.0,139.55750621159723
44,96.0,150.61779743443336,28.0,105.92308405630946,9,137.50924434378948,70.0,173.10890399976543,20.0,175.05104719481116,17.0,144.59717399728115
45,80.0,152.292,73.0,106.15082692094302,93,140.08428682760962,64.0,175.16826966091776,38.0,176.0483795551666,62.0,144.67230893298137
46,36.0,152.58507514170577,27.0,107.98902427561794,65,140.21351987593778,17.0,180.77903149425268,21.0,179.53912879369778,58.0,161.55621971313886
47,48.0,160.19019138511572,70.0,108.08960915832752,78,148.23400650323126,36.0,183.45758172395057,7.0,180.57185780735605,44.0,163.40662842124857
48,82.0,161.69069427768562,21.0,110.11490923576152,32,153.1143511497208,51.0,186.0521592027354,49.0,181.37250550179868,65.0,164.8265906945842
49,64.0,163.93779358037,50.0,112.71589540078187,15,154.37877446073992,32.0,191.4386722060096,43.0,183.81921736314732,46.0,165.63773928667345
50,90.0,165.47728703359869,84.0,118.11422324174173,40,156.42999657354724,11.0,202.5274012572126,61.0,185.4671493930933,38.0,166.71313158836648
51,29.0,166.36511736539003,79.0,118.16532618327597,79,160.78456325157586,71.0,206.55343369694924,17.0,186.8228598111056,60.0,174.2490713547708
52,103.0,168.38506096444544,45.0,118.28788316645117,64,166.5754628989516,59.0,217.8317802433796,6.0,194.8024384446971,33.0,176.05523809304853
53,55.0,172.494,26.0,119.06114781909336,36,167.9039290308598,43.0,220.503783967532,24.0,198.92414025452013,21.0,178.73702404370505
54,93.0,176.92411139242722,40.0,120.3121211848582,107,170.033450685446,63.0,223.19248922846845,33.0,204.49128454777724,68.0,182.010487851662
55,104.0,185.83786943462303,46.0,126.6867464891257,105,171.34920113032334,75.0,224.25033062182985,2.0,205.9387161074867,9.0,183.33248726835077
56,25.0,191.59628941083383,55.0,127.8159095731044,73,173.07402481019503,69.0,228.5172719599112,52.0,211.549576487404,34.0,196.2290386767463
57,44.0,192.8838922668246,6.0,128.616385425808,103,173.91613754910728,67.0,229.8764709838743,41.0,224.9921536231875,57.0,198.82699746261827
58,97.0,195.2976786958821,47.0,128.95391260446502,58,174.47067426934532,30.0,238.14764802533745,11.0,227.5907144063659,7.0,202.0319534925107
59,73.0,196.87407599783168,33.0,132.93741116781237,88,174.4983548461131,49.0,246.2048060375752,15.0,237.62484279216264,14.0,204.32588628952524
60,106.0,197.8468434016576,66.0,139.600759740053,23,175.91115264246326,53.0,247.5790740591781,18.0,239.83511878788727,56.0,212.733461965907
61,108.0,199.11221954465776,12.0,141.83176752758885,45,180.35105656469,57.0,250.3628560629552,34.0,250.45929412980465,37.0,215.04799789814365
62,21.0,199.6270117794684,49.0,142.54509189726596,59,183.7009422512579,55.0,254.66641729132644,32.0,269.1068579728135,50.0,216.24623331748467
63,81.0,200.5141802566592,82.0,143.89402275285795,11,184.93252929649773,68.0,263.1266647833321,57.0,284.08463141113424,6.0,218.46277693923057
64,83.0,201.45139210241263,32.0,148.09546621014434,81,188.9372602532385,65.0,273.4156902886153,9.0,284.81051321887685,64.0,234.90600375469336
65,42.0,202.1514495421688,53.0,154.59761851982068,10,194.6536206701535,52.0,277.3269636512108,64.0,287.4311939856216,41.0,244.23521473366614
66,34.0,205.8448836770057,57.0,161.89965492242408,25,195.98891268640685,66.0,283.3142742750531,10.0,289.44058277304515,1.0,244.64520870844785
67,51.0,216.7203296509121,36.0,168.57856176868992,87,199.11828366074272,54.0,290.63954783201825,23.0,299.76897650690944,45.0,247.75945956511933
68,54.0,220.8211581166986,20.0,173.77027842528193,99,204.1899232087617,76.0,309.76486621952466,31.0,304.7187559045226,52.0,253.2638621596062
69,52.0,221.83043824507044,23.0,176.53467359133728,57,204.686046627512,77.0,310.407366993762,50.0,318.8162706638417,31.0,259.871364216991
70,75.0,228.1576851565601,39.0,182.61318420092235,31,204.7155398693514,48.0,311.44424229065464,27.0,347.4919133332458,30.0,263.4385241531694
71,60.0,232.3424891491008,52.0,185.00433634917857,92,208.00973528178915,72.0,312.9255964027232,,,66.0,271.83897733768794
72,16.0,233.2708773679218,37.0,198.9423492472128,47,210.16377813505355,60.0,313.3112198501675,,,53.0,280.69817301151073
73,98.0,238.046222276263,22.0,200.24904539098307,28,211.12678543472404,56.0,320.0825070196745,,,36.0,290.7807660558036
74,15.0,238.17299771384663,58.0,203.6214448529428,102,213.23235788219387,62.0,332.3962045992704,,,48.0,295.1291078290991
75,67.0,239.56813990178244,42.0,204.21357546451213,61,214.55332388942384,73.0,360.3772572790908,,,35.0,315.2590726624692
76,79.0,246.3812969606257,31.0,207.98070918236627,66,218.86036383959524,58.0,380.568222772212,,,,
77,31.0,247.76920639175484,51.0,219.4774007773921,71,219.47189919440711,,,,,,
78,86.0,252.3037569280331,34.0,229.20314715116808,43,223.86771037378304,,,,,,
79,111.0,253.36396174673305,56.0,230.1232125710051,86,230.3329972105604,,,,,,
80,102.0,253.8733801011836,19.0,230.799083897662,54,237.7873908011104,,,,,,
81,22.0,255.23474296419755,25.0,249.71092494322312,77,238.4769837950824,,,,,,
82,47.0,255.31515346332264,35.0,253.3067668263128,62,244.5168508058289,,,,,,
83,78.0,255.40026639766845,38.0,257.5470787487212,34,244.69455920391857,,,,,,
84,30.0,260.6368874123538,18.0,270.74408629552744,63,245.20721557083104,,,,,,
85,53.0,261.1875994070163,,,131,249.5125938304517,,,,,,
86,40.0,269.814858256546,,,39,251.0082836083304,,,,,,
87,13.0,270.2843390135655,,,95,255.1968939622895,,,,,,
88,50.0,270.4986873979244,,,50,256.0377115504667,,,,,,
89,59.0,274.6582349175062,,,56,256.2074290726169,,,,,,
90,92.0,276.9871500990614,,,53,257.1294814835514,,,,,,
91,89.0,282.23395306022275,,,94,261.70947172771565,,,,,,
92,35.0,284.22910644056145,,,44,268.468960842776,,,,,,
93,19.0,289.0481773891681,,,30,268.95874921630644,,,,,,
94,56.0,293.4921443650579,,,123,275.5010161142786,,,,,,
95,61.0,294.0962962296534,,,67,276.0045746360012,,,,,,
96,27.0,302.8426651712074,,,120,278.44367146695936,,,,,,
97,112.0,303.5873336290564,,,110,281.3941732232564,,,,,,
98,91.0,304.1595256506033,,,33,282.563183716492,,,,,,
99,39.0,306.8904104073635,,,35,294.4491708801368,,,,,,
100,14.0,308.69888285512144,,,51,294.4696738409577,,,,,,
101,24.0,308.9022109147165,,,114,296.2969055930217,,,,,,
102,77.0,309.0975925302558,,,75,296.48837635900674,,,,,,
103,63.0,310.1232732575871,,,42,298.2060810647563,,,,,,
104,28.0,313.28038744230383,,,37,305.4390854360326,,,,,,
105,33.0,314.52668239753524,,,55,305.66828432141926,,,,,,
106,84.0,315.30885938076653,,,29,309.1366540350723,,,,,,
107,66.0,316.7950112107197,,,52,311.0524224949872,,,,,,
108,105.0,328.736202752298,,,116,316.9436240910992,,,,,,
109,109.0,333.143677004382,,,121,317.1797371270744,,,,,,
110,41.0,336.13131359038834,,,109,325.6177006552316,,,,,,
111,57.0,341.3215165675906,,,49,330.18751904940325,,,,,,
112,32.0,357.2916030247563,,,122,334.92575761801305,,,,,,
113,,,,,129,346.48624663614,,,,,,
114,,,,,115,346.61516268045744,,,,,,
115,,,,,127,347.3772266628888,,,,,,
116,,,,,41,347.8461603410336,,,,,,
117,,,,,112,360.7790979034124,,,,,,
118,,,,,60,361.1871775631024,,,,,,
119,,,,,118,376.9307005644407,,,,,,
120,,,,,113,379.1441544004074,,,,,,
121,,,,,126,384.0392751633614,,,,,,
122,,,,,46,385.3857338200261,,,,,,
123,,,,,125,386.4745199880583,,,,,,
124,,,,,128,392.8547653319226,,,,,,
125,,,,,111,413.027942342888,,,,,,
126,,,,,130,414.0323806902064,,,,,,
127,,,,,108,417.13250608409794,,,,,,
128,,,,,119,425.2227893516527,,,,,,
129,,,,,124,431.7715661874923,,,,,,
130,,,,,117,461.3888546898376,,,,,,
