,A_M13DKO_080212_DKO1.2_crop,G_M13DKO_060212_DKO1.1_crop,C_M13DKO_080212_DKO1.2_crop,E_M13DKO_080212_DKO1.2_crop,H_M13DKO_080212_DKO1.2_crop
0,8.511608543630283,58.57982277200914,8.368546110287019,14.660406679215964,6.216
1,9.061299244589597,86.71821275833584,9.828358967803323,14.660406679215964,7.121322629961376
2,10.19025946676531,88.16810423276662,17.65004713874725,20.14214209065163,8.368546110287019
3,13.186127255566738,98.52899228145998,22.57315387800296,24.57089741950831,11.419521180855176
4,15.38381513149453,135.13546829755688,30.885139144902684,27.13944325147441,63.78975983651295
5,15.847752648246376,146.05946714951415,41.26155329116926,31.46610176046597,78.41158164455044
6,27.842198835580497,156.99246063426102,47.543257944739125,35.742000000000004,82.08298020905431
7,31.31223237011376,175.51946733054996,49.16635959678121,41.26155329116925,93.48572620459232
8,46.98120075093867,180.99263946359807,59.15414849357567,52.261553708247135,113.0047601121298
9,70.73687830262232,190.9144499193291,75.63686934293354,53.607369269532334,122.64791789508699
10,73.71269225852492,,76.73047118322681,68.51712708513107,127.74976449293362
11,77.73107378648515,,76.90337628479,71.6527139472051,128.95391260446502
12,79.42141142034684,,83.90160987728423,72.92218477253682,156.39911816886948
13,81.31445140932823,,85.6534576535005,82.00939616897567,169.4430179263814
14,90.1989578875499,,86.73213556692814,84.84612304637143,173.3040977357431
15,95.02300207844416,,86.746056140899,85.3569069964464,176.50731235844026
16,106.9779740133454,,93.69215367361346,87.57724142721099,178.7032433505335
17,107.5857443530508,,93.92384227660196,106.6388270940749,178.89908258009598
18,109.1124918604648,,97.76623920352056,108.4019430453163,192.01806552509584
19,116.51891585489456,,99.31020563869556,109.77445440538524,193.80816149997398
20,118.14488765917888,,101.29648603974375,116.55,219.35633407768285
21,131.89789560110503,,107.1696808617064,122.60853192172232,220.23530112132343
22,131.89789560110503,,110.20259780967054,135.7061141437629,221.63984585809473
23,134.55342898640674,,113.0047601121298,139.92042028238768,235.84989960566026
24,139.59211010655295,,116.85005376121998,144.00306834231,237.52319379799525
25,140.95216895103104,,121.54028620996417,149.5477752291889,243.76014477350475
26,141.58466624603102,,123.3547150132495,150.03143682575327,250.86874232554362
27,145.18884862137313,,134.27495245204892,150.48947553898913,258.74916653778814
28,172.8855555909747,,138.48049666288753,151.15396215779458,262.0230178438528
29,179.00704009619287,,139.60075974005298,157.6295363312346,276.1445319610729
30,180.6988634053906,,143.26329287015568,163.43618288494136,278.58673767428337
31,180.97262442701103,,146.6123027443468,164.78995849262176,
32,186.79700555415764,,147.63,173.67992329569933,
33,195.0749761707021,,148.77876211341456,181.5322112904484,
34,202.58701197263363,,150.34498249027138,187.5388936300948,
35,212.23908251780583,,160.7019343505236,189.2118645857072,
36,212.5744768122457,,167.1976902232803,192.47656053660145,
37,214.18156861877728,,174.95445207253232,200.91723633377003,
38,219.1635901330328,,186.5512114031962,201.73290369198577,
39,222.53692370480903,,189.8553033654841,204.6919456158449,
40,227.38902013070023,,195.0440251532972,204.9277659078925,
41,238.674367128102,,202.31862544017048,205.0396855342887,
42,254.3343075088377,,205.65709038105155,208.5025607324764,
43,258.10906162318287,,227.4155690712489,211.22398798431965,
44,267.2789649635751,,228.4009970030779,211.469653822954,
45,270.91796173011494,,233.0015592136671,218.0810759878078,
46,274.62306290623155,,233.44162965503816,223.9324244945336,
47,282.65290734043407,,233.99958415347663,225.63523464210996,
48,298.19393360026623,,240.4736545570013,230.50068745233716,
49,355.98812751551145,,249.27051305760176,233.46231841562783,
50,,,255.0265039402768,235.08070474626368,
51,,,256.4476699601695,240.4887175815115,
52,,,274.8340274565724,240.5991509461328,
53,,,281.5657602834549,245.60083845133752,
54,,,284.75115384489663,247.9104923152709,
55,,,288.31202478564785,251.36880701471296,
56,,,300.0065321288855,252.5046776438013,
57,,,316.1120199612789,253.09217075998225,
58,,,331.3702317951931,256.41470904766754,
59,,,342.64202348223426,258.5857867787787,
60,,,350.75676833954327,259.2200565156948,
61,,,354.018799738093,260.3355863880311,
62,,,,260.92858560916625,
63,,,,275.9170652569355,
64,,,,276.4897482656455,
65,,,,279.1150124231945,
66,,,,281.63865312843694,
67,,,,284.891052586774,
68,,,,285.49648830064444,
69,,,,288.43763817504816,
70,,,,289.2026983691543,
71,,,,295.5256962431524,
72,,,,297.0092028271178,
73,,,,298.55005383352386,
74,,,,298.6956170083518,
75,,,,303.7940828456012,
76,,,,306.2957258663595,
77,,,,313.4036988741518,
78,,,,314.13101978633057,
