,A_M13DKO_080212_DKO1.2_crop_seg_id,A_M13DKO_080212_DKO1.2_crop_distance,G_M13DKO_060212_DKO1.1_crop_seg_id,G_M13DKO_060212_DKO1.1_crop_distance,C_M13DKO_080212_DKO1.2_crop_seg_id,C_M13DKO_080212_DKO1.2_crop_distance,E_M13DKO_080212_DKO1.2_crop_seg_id,E_M13DKO_080212_DKO1.2_crop_distance,H_M13DKO_080212_DKO1.2_crop_seg_id,H_M13DKO_080212_DKO1.2_crop_distance
0,49.0,8.511608543630283,1.0,58.57982277200914,15,8.368546110287019,1.0,14.660406679215964,8.0,6.216
1,6.0,9.061299244589597,2.0,86.71821275833584,62,9.828358967803323,48.0,14.660406679215964,19.0,7.121322629961376
2,43.0,10.19025946676531,6.0,88.16810423276662,6,17.65004713874725,47.0,20.14214209065163,24.0,8.368546110287019
3,7.0,13.186127255566738,7.0,98.52899228145998,28,22.57315387800296,2.0,24.57089741950831,7.0,11.419521180855176
4,10.0,15.38381513149453,,,34,30.885139144902684,3.0,27.13944325147441,31.0,63.78975983651295
5,5.0,15.847752648246376,,,18,41.26155329116926,4.0,31.46610176046597,28.0,78.41158164455044
6,47.0,27.842198835580497,,,14,47.543257944739125,24.0,35.742000000000004,14.0,82.08298020905431
7,50.0,31.31223237011376,,,50,49.16635959678121,45.0,41.26155329116925,13.0,93.48572620459232
8,18.0,46.98120075093867,,,39,59.15414849357567,44.0,52.261553708247135,,
9,28.0,70.73687830262232,,,5,75.63686934293354,39.0,53.607369269532334,,
10,2.0,73.71269225852492,,,61,76.73047118322681,49.0,68.51712708513107,,
11,9.0,77.73107378648515,,,31,76.90337628479,46.0,71.6527139472051,,
12,35.0,79.42141142034684,,,37,83.90160987728423,13.0,72.92218477253682,,
13,44.0,81.31445140932823,,,29,85.6534576535005,77.0,82.00939616897567,,
14,36.0,90.1989578875499,,,33,86.73213556692814,28.0,84.84612304637143,,
15,25.0,95.02300207844416,,,11,86.746056140899,50.0,85.3569069964464,,
16,,,,,3,93.69215367361346,72.0,87.57724142721099,,
17,,,,,41,93.92384227660196,,,,
18,,,,,55,97.76623920352056,,,,
19,,,,,43,99.31020563869556,,,,
