,E_SNAP25_120812_CTRL2.3_14_crop_seg_id,E_SNAP25_120812_CTRL2.3_14_crop_distance,C_SNAP25_12082_CTRL2.3_5_crop_seg_id,C_SNAP25_12082_CTRL2.3_5_crop_distance,D_SNAP25_12082_CTRL2.3_5_crop_seg_id,D_SNAP25_12082_CTRL2.3_5_crop_distance,B_SNAP25_120812_CTRL1.4_4_crop_seg_id,B_SNAP25_120812_CTRL1.4_4_crop_distance,B_SNAP25_120812_CTRL1.3_13_crop_seg_id,B_SNAP25_120812_CTRL1.3_13_crop_distance
0,31.0,0.0,1.0,0.0,3.0,0.0,4,0.0,20.0,1.554
1,38.0,0.0,4.0,0.0,65.0,1.554,12,0.0,11.0,2.19768787592779
2,4.0,32.3366452805482,14.0,0.0,42.0,3.108,18,0.0,19.0,2.19768787592779
3,11.0,38.91211035140603,16.0,0.0,67.0,3.4748496370346733,23,0.0,5.0,4.662000000000001
4,,,18.0,0.0,66.0,5.154034924212291,34,0.0,4.0,4.914179483901662
5,,,2.0,1.554,9.0,32.14940198510697,67,0.0,3.0,5.154034924212291
6,,,6.0,18.648000000000003,,,83,0.0,2.0,5.814535579046705
7,,,12.0,22.679883333033263,,,92,2.19768787592779,1.0,6.407306142209845
8,,,,,,,27,23.5162872069551,27.0,14.411203142000323
9,,,,,,,89,39.558381766700215,,
