,D_SNAP25_12.08.12_KO1.1_3_crop_seg_id,D_SNAP25_12.08.12_KO1.1_3_crop_distance,C_SNAP25_12082_KO1.2_6_crop_seg_id,C_SNAP25_12082_KO1.2_6_crop_distance,E_SNAP25_12082_KO2.1_6_crop_seg_id,E_SNAP25_12082_KO2.1_6_crop_distance,A_SNAP25_12082_KO1.2_6_crop_seg_id,A_SNAP25_12082_KO1.2_6_crop_distance,B_SNAP25_12082_KO1.2_6_crop_seg_id,B_SNAP25_12082_KO1.2_6_crop_distance
0,9.0,9.193587982936805,4.0,1.554,8.0,3.4748496370346733,13,4.662,1.0,6.216
1,10.0,10.878,9.0,1.554,6.0,5.154034924212291,1,7.77,27.0,10.308069848424582
2,13.0,12.90849348297469,7.0,4.662,11.0,6.216,9,9.452612972083434,3.0,40.582911576179455
3,15.0,14.660406679215962,8.0,6.216,12.0,6.407306142209845,11,11.419521180855176,6.0,60.04556260041203
4,18.0,22.46591738612069,5.0,13.636294658007358,14.0,6.407306142209845,17,41.14433273246754,29.0,75.15642703056074
5,17.0,59.642026021925176,1.0,60.76517558602131,13.0,77.0602260832396,16,50.13908212163442,28.0,89.87710509356651
6,7.0,63.581203071348064,3.0,86.46721885200193,7.0,80.34345317448087,14,51.11691610416262,2.0,90.78605789437054
7,16.0,76.22524447976537,12.0,118.81750265007256,10.0,90.4796399197079,15,56.35259124476886,5.0,92.88969193618848
8,1.0,97.60555117410075,11.0,144.34644175732217,1.0,90.51966630517371,2,65.1012870840508,4.0,103.85092612008812
9,3.0,102.0801770178716,2.0,198.70550218854032,15.0,113.29288830284098,10,76.60447689267252,16.0,123.66755042451517
10,6.0,104.9726712435194,13.0,201.667053223872,2.0,133.30023228786965,12,91.686,33.0,130.47123393300149
11,20.0,107.27103402130513,6.0,203.9710098224745,3.0,137.6145750711021,8,96.67328958921384,31.0,130.66543582753627
12,19.0,115.18484494064312,10.0,255.41444912925343,9.0,166.3941463513666,27,99.94044514609688,15.0,152.21269363624046
13,8.0,115.92673350008616,,,4.0,167.8463882721341,18,112.46924027484135,11.0,156.91552993888146
14,2.0,116.82938513918492,,,5.0,214.6602249975528,6,136.35409155577256,25.0,161.81013340331936
15,4.0,117.55062463466538,,,,,41,165.7251932205843,13.0,169.13632057012472
16,14.0,149.57199545369448,,,,,39,167.86077531097013,37.0,174.35990801786974
17,12.0,170.03345068544604,,,,,3,197.68199389929276,26.0,192.21918426629537
18,11.0,170.26763221469898,,,,,30,199.64515666551995,38.0,193.06534764167287
19,5.0,180.93926111267285,,,,,42,210.15803273727133,36.0,193.95762797064725
20,,,,,,,32,215.83823701096156,20.0,198.12128776080576
21,,,,,,,7,217.7541633585912,12.0,205.73927103982848
22,,,,,,,31,223.82455723177475,7.0,219.64788150127922
23,,,,,,,20,240.9652263377436,32.0,226.74558791738374
24,,,,,,,5,247.78869889484469,24.0,227.2456022544771
25,,,,,,,26,250.931304910328,8.0,244.34889642476392
26,,,,,,,22,252.1936610860789,18.0,250.5797895202245
27,,,,,,,4,258.6044639753924,35.0,254.04929642886242
28,,,,,,,40,266.5098673445319,22.0,267.56793480535
29,,,,,,,24,268.03684634766165,39.0,271.812325151013
30,,,,,,,19,280.03925114883447,14.0,287.284126286156
31,,,,,,,34,289.24027207150806,30.0,305.54580285777126
32,,,,,,,37,299.587663390868,21.0,314.7108989342441
33,,,,,,,36,300.9669155305945,19.0,316.49757610446244
34,,,,,,,35,314.46909259893886,10.0,320.2710681594577
35,,,,,,,25,318.0009551872447,34.0,338.03697325588513
36,,,,,,,23,320.66292015760104,23.0,345.3028563218092
37,,,,,,,21,331.09683148589625,9.0,360.6920704257303
38,,,,,,,29,334.8933096853384,17.0,375.15825913339563
39,,,,,,,38,343.8907550894615,,
40,,,,,,,33,363.57622585642207,,
41,,,,,,,28,388.3818780427326,,
