,D_SNAP25_12.08.12_KO1.1_3_crop_seg_id,D_SNAP25_12.08.12_KO1.1_3_crop_distance,C_SNAP25_12082_KO1.2_6_crop_seg_id,C_SNAP25_12082_KO1.2_6_crop_distance,E_SNAP25_12082_KO2.1_6_crop_seg_id,E_SNAP25_12082_KO2.1_6_crop_distance,A_SNAP25_12082_KO1.2_6_crop_seg_id,A_SNAP25_12082_KO1.2_6_crop_distance,B_SNAP25_12082_KO1.2_6_crop_seg_id,B_SNAP25_12082_KO1.2_6_crop_distance
0,9.0,9.193587982936805,4.0,1.554,8.0,3.4748496370346733,13.0,4.662,1,6.216
1,10.0,10.878,9.0,1.554,6.0,5.154034924212291,1.0,7.77,27,10.308069848424582
2,13.0,12.90849348297469,7.0,4.662,11.0,6.216,9.0,9.452612972083434,3,40.582911576179455
3,15.0,14.660406679215962,8.0,6.216,12.0,6.407306142209845,11.0,11.419521180855176,6,60.04556260041203
4,18.0,22.46591738612069,5.0,13.636294658007358,14.0,6.407306142209845,17.0,41.14433273246754,29,75.15642703056074
5,17.0,59.642026021925176,1.0,60.76517558602131,13.0,77.0602260832396,16.0,50.13908212163442,28,89.87710509356651
6,7.0,63.581203071348064,3.0,86.46721885200193,7.0,80.34345317448087,14.0,51.11691610416262,2,90.78605789437054
7,16.0,76.22524447976537,12.0,118.81750265007256,10.0,90.4796399197079,15.0,56.35259124476886,5,92.88969193618848
8,1.0,97.60555117410075,11.0,144.34644175732217,1.0,90.51966630517371,2.0,65.1012870840508,4,103.85092612008812
9,3.0,102.0801770178716,2.0,198.70550218854032,15.0,113.29288830284098,10.0,76.60447689267252,16,123.66755042451517
10,6.0,104.9726712435194,,,2.0,133.30023228786965,12.0,91.686,33,130.47123393300149
11,20.0,107.27103402130513,,,3.0,137.6145750711021,8.0,96.67328958921384,31,130.66543582753627
12,19.0,115.18484494064312,,,9.0,166.3941463513666,27.0,99.94044514609688,15,152.21269363624046
13,8.0,115.92673350008616,,,4.0,167.8463882721341,18.0,112.46924027484135,11,156.91552993888146
14,2.0,116.82938513918492,,,,,6.0,136.35409155577256,25,161.81013340331936
15,4.0,117.55062463466538,,,,,41.0,165.7251932205843,13,169.13632057012472
16,14.0,149.57199545369448,,,,,39.0,167.86077531097013,37,174.35990801786974
17,12.0,170.03345068544604,,,,,3.0,197.68199389929276,26,192.21918426629537
18,11.0,170.26763221469898,,,,,30.0,199.64515666551995,38,193.06534764167287
19,5.0,180.93926111267285,,,,,,,36,193.95762797064725
20,,,,,,,,,20,198.12128776080576
